Address	Quantity
0x7475af4d72aef41b715da844d1532e7773174064	20
0xe2d70f3254fc0f2f72e933191737d15c4907d6a2	1
0xcdedb7b9ff793497dd6a9787bb7f17177e9042aa	1
0xa27cbe562301daf9282272a40ebe7380d353bbe9	1
0x55933bbe5c95dad58be3272a1e5e413238c0405a	1
0x828673294311ceca36f84fc97786e9aded8f17ff	1
0xb7d53c050b3b03b316ac5226fd170afa774dcce7	1
0x48e0d2c4be37c9d4e971597fbab155b6db4736af	1
0xbcb4fa079355844f3a7ddfe515e0323008089b0e	1
0xae866b05bb30798f7d506b603071e9a92eddd33e	1
0x72c0e40fc938f9d6595743b2ab0cc4b540025eeb	1
0xff02c1c475245137f886df43344f8dc5720ada10	1
0xf05181360129ff94ea193298c939a444e87ffbbd	1
0xc30b563771cda5b62f1b6ec1d74650110a2fb896	1
0x8f43e39667bfd6d571a7e4a69df2e5646e92319c	1
0x883e7fb0022407ef44fa067b22580c343631188e	2
0x602160f62d420e9154fc5167243440891d6efb4b	1
0xba2d793eccf4877301a8224c044cf49aeaedf5d0	1
0x43541dadce7341675f07352add43976f3cad0cf7	1
0xb30e2fbcfc78ed6dd67b8b15ad7d150809087805	1
0x8e5dc5679712757dc04793695f8dc15a97148b27	1
0xf3b5d31eeaba482766918fe0f2a7840147b614d9	1
0x20ce27b140a0eeeccef880e01d2082558400fdd6	1
0x2c461b76241e3951be06313a39c0fe443e7db6ae	1
0x729f42716b59e9f90d76649d8646f71866e0e74e	1
0x96016a630db8656132cfc0baade6833a26bfd9f8	1
0x76f877df4a75ad46ff479609cf7e3e9e4dd9bb7f	1
0x6c42af8a86513746ccfce2b588336603eaf2d125	1
0xa3c95766279652129c8de4be1d0dcefca3c7e41c	1
0x450f9660bfdbc8f759a70dd36416ba324fa8d9cb	1
0xa787982969073d3b4fa4120b7d9c505fab3517d4	1
0xb01648e277c992a55509291de543ee057ebd1059	1
0xf0177863a8c8a0daf1afe56cb019f6e80ca15e6b	1
0x3ac0ea0c5f2e2e636d451ea85033c589e6e47722	2
0x7052acfe25c89c53a70396bc0ad9a70536c25654	1
0x0fa84a489278c891d9938cb7e8254d7bc3681d40	1
0x7320a807542b049742afa5d15fc81feb9f96b2ba	1
0xbc2feda7b3e798af51d1e2c635a268a10c0f8924	1
0x9b9dbf521de51d40be118158634bab4ca882ff6b	1
0x5035a4d25a5d0dcea1800098d4a01b041a09f655	1
0x7851424fc9b0a1ab166abb1f48391a5f2d88f92b	1
0xef64eff347dcb8b38e81de409f6f9e91bf38654e	2
0xb8e2af7aef5aebd9137aa12ab11774c2621fa2a0	1
0x2850e4322359ea498027973bfec6d8f92674583f	1
0xf6c50a237ea345a59ece4c0ec657eeb587ebb2b8	1
0xc9e9f5256799eef022b4220976a412493d0be31e	1
0x620ee7d34f21a848d099cd3379c0b0d361d2f4f5	1
0x458b1b1bbb7ee6b11503959a15dd7993c6f345c6	1
0x17a5f4a13cba523612c8f35af7c09647cff82311	1
0xea9f8d4a2349ec791d50c280b7bcf28e837ce4f3	1
0x4aae46d610d27fff86be08f8f6cefa32a1445f2e	1
0x1eb29070acad13891f2ed7acef5b30463edad03b	1
0xa529b6a2320973238a8445b8c4e25ac2fff3120e	1
0x5a59a21a1eb3bdf94a22452f0949f6d57d525649	1
0x51ad0b2ef2540d9336ec77e6e5a53f62539b4923	1
0x37e8640870512943d7e491df50be50cb9b8431f3	1
0xe0942ee3ea0958375a3d40164c612232bf1e90fe	1
0x0b9e00fc2ee33884c323c2a7a6ff1df2486cb6cf	1
0x05ef7067ba8fea1d609ff02dd3b9e8e48762eff9	1
0x748a1626438952ba7cbe29c1e92ceb3a0822d82c	1
0x01024016c98cece27179dd2987d98fd3617cbbaa	1
0xaf075064a9ca1e8fa9efffcbc88b69d0c6b7f8fa	1
0x98b19463b6b1e02f4efe443d445e434afb1794cb	1
0x81afcbe7b758fed5a22718a16ef93f8985b5d589	1
0x136e409d3c13dbf044d8eca5e6c22cb0a7915500	1
0xa475e146eaf8803f7afe18386a6ba11e5fa90461	1
0x774f43557c38aba64c32bc955e6083b444a56fa1	1
0x86dd8176d98561ce948baaba4330607a7cf1bd79	1
0xf72694102f1f77da61e5ed003ae1fcab3b925aa9	1
0x0a5134931b62fc475b098b344d91e2a870f2ab92	1
0x69c37950a2d41ba7080e67ad05f4fa6428d340f8	1
0x02cf7c0af382a7daeda8d3d95fe7a76f48648364	1
0x5f447ed3d1b278e0a3d34c67c31d9898dd10734a	1
0x4070c365bcbe4d505835b174bd20a9c945de39d8	1
0x1cb4a697aab5103287f24a045fcd274b38bb54f6	1
0x2eaf07b7eec52076535d301fd889afd6fa92e45b	1
0x4bedfd85919bda155c80f2b65c50133cf13fac3b	1
0x2c7956fb5fa79ba7db5ad2f3b1c36ef79e9338b9	2
0x917745978cbfb631da987fcc74cf291de1eb472f	1
0x0efd092817edf0d1e2848423e71cf7f5cbbd3083	1
0xd1c5c031f5ecde1b4d16f5172b1b86dab2171dbc	1
0x2ebdfb0eea0364372b4a1a1d2a8142c60ea54867	1
0x13000638786abe8aa4000b395ddf714a273aa429	1
0xabd29e9f206b20148e03f95c31c5f3139c0e9999	1
0x4cef98d34e5bbe12491cef4d565ffbeb128a4b46	1
0xe656179efff775a795173081552b34bfa27bfe5e	1
0x79a968df07c97042e964a615fb50df2eeda8512b	1
0x1257ea6f17f3bd82b323789cf08b79191cc82b6d	1
0x8584f08ca12dbc430dbb64d0a20987e252c03d53	1
0xa91e1f0b2e0a1e50b292913ea99786fdbf7ba537	1
0x5efd95ced49055f9f2d945a459debfccee33aa54	1
0x972aa5413b84b92b066e5fdaf72b3cf32a7f7425	1
0x0531fea6d198171c7a1dbe559307b051222c8ca0	1
0xe37bd35bbae0f25f298ed38c4229b55f423420a9	1
0x73da1af06106a7f3ac717ef0fd637177175d98b7	1
0x65e59e74b5acde46f12816c6b7dcb04a0f58a919	1
0x5e8bb171efb4ef1da79479c794d5b8ec550233f1	1
0x9a925fb79f42e3a03291aa97e6b8e38325eb3c33	1
0xdcc54e8e093ba4eb69d9a5a2933044c3cc22b9f1	1
0x490c1a733184fa5e88c6d1920f377ff26f8f00bb	1
0x6e12a28086548b11dfcc20c75440e0b3c10721f5	1
0xf7fe08b81cf8121e7d79d2d4d56f8b37537b4b20	1
0x3b701f7be10475b2844ce869f8bf4b797a8a20c2	1
0xf95c92786ae4ea27a225243cf11eb365018795fe	1
0x500ea6b674b5e47c538c26864a03ee05a4079e11	1
0x8a25b453a19a730d30c1a5407c4b31d3b11ec194	1
0x62b8ef8a769c8bc785a147f364ae3b2d117cb895	1
0xaef29b4374e3c8a04d140ac950121970e9b5013a	1
0x41b86663b2d00e72d13b9c3ec4be18d84ea46cfd	1
0x677610ca53d5413dc706e2fb6bcd62374b173255	1
0xe77fb6d4a9d94d919fd290f2ef1a21b618ba9eb2	1
0x75753e99f991dd78efb3ed714e3cc649caad5fd2	1
0x5b56ede3410572b3257daf19d0e0fb31738fe86c	1
0x3c247fd32385c3a6d7cf985cdae42d3f76fb036e	1
0xfe746c723ebd22dffdd4ea7f06c922589e5bdc50	1
0x9de91fc2ea41a6a51237aafcf85c840a4ebae812	1
0x9b0de76cb0a21cad9fd37675731f65773508af9e	1
0x9f2426a1bb812e78b51dc5833863846149fc945c	1
0xf2f5da9a4bc63f9aa77ac67f8ca2700e8218deb1	1
0x9f118cac8821b0c53aa8d34e10cc45584cd0b47c	1
0xbddf4556ab79d13a973a8b20971810aee60b659c	1
0x7367772422348626242bb837a35a0224e5d96c6a	1
0x598ec957c20fdfbc06567473224c85585103dfd6	1
0xb626bf8fde033a575356bb7f757f0833e5ada8d2	1
0xfd5b061127be14ded27d8a8f380fd760321326e8	1
