Address	Quantity
0x32fa31de56d8baa24bbbf727c9dd6789e32caf16	27
0x2ad49f60ce974e494a53bcc7d5ae8b2ebc48a828	1
0x9a289f3ab8f9f6c8319490b422178d42f4ba9b5e	1
0xe48864f7a66aef54a2374b741e4ae6bf20ec715b	1
0x42918766472728fbc91d253bcf80636e7eb5ca78	1
0x2ebdfb0eea0364372b4a1a1d2a8142c60ea54867	1
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45	1
0xf5baab2604104e4e81624758f04e607def929ec2	1
0x0edf2ab6295c02d405667196c4403e9b9b2aafc4	1
0x2216c931a40cb1318e725ee6a9e0e9931c2281b7	1
0x5fa9448c972b608169bd308684f012a91ef5a187	1
0xdbdd33d52c58c7a30a14332b6c2a0a044ab37041	1
0x7ef5787d9aa49f8c5132f73df7c680e1e0935456	1
0x0e9beee0eebd1e1b1e49e2d6011cfd0b59bb79c3	1
0xd20cc1610bb0d0cf0daacb159ab6cc4787d9e6d4	1
0xb96f79ab68f928b44b7abb62ff89f54b5609a5f8	1
0x9abe1aee41b7e8cac3a9c60a6385e3dff55d0f38	1
0x66c6d1d1f58c9449f906de0154d81a5e31ba9b6d	3
0x88ba6e35d3c00d0385ee9498e63e04565413eb9c	1
0x7d25fdf8e00bf272ff10e514d29e07761021e27a	1
0x0d32d8bd710dc00ac0617a84eeb7554345cc6d77	1
0x9168a80af210c511e4be5b32d7de75124d0a4996	1
0xfe2fdb1172a70e6ef2d3b973685d74c5a6be7e59	1
0x460ddb531bb3fd2a29bcfde90a9b7bf977e91875	1
0x76c5851ce22e476f3513ed31dd77840b4d9db34c	1
0x355b160080bd07b94967d096c7d2494287a3dde3	1
0x9baf48fe23ef619b7c16ac7eb8ec72c86a5a28a3	1
0x2a036daff3af2624039b7b99acce5cfe40e14ce2	1
0x5f46645b89f890b7feb579c71fffa97cfcb8d048	1
0x1295de8a45d6c9da6686fe583b57c42aeef4185c	1
0x96c0d281955e97832ebdb96c869d23f8910cd735	1
0x8d6d93c56ae199f246909379372a72fcbbb38f90	1
0xed2bbcb5d0e346824c09da5734e5fde9eab94574	1
0x5ac72f7f92ea6372d9e8a6131ac741163c97611f	1
0xeef9f12cdfe9e79709dbf6879d0c12c0b367013b	1
0x2adce538e273c5128f49595b0a2addb4ae511dbf	1
0xf1092fffdf736fce2881e16a57c3c68ac8e745d0	1
0x3a6de8266241991a94c1648e3bec79cc06f0f38f	1
0x90b3dc91687afb37aac36016a6fa65ca68981238	1
0x542d56a16af5457ec571f0379c628838911b700e	1
0x007554d0887fb684f79b2e0948436e0e3cd34d7d	1
0xb935979b27912f8453760f55e4fce4a7b5674150	1
0x331cac98a8aa8a07fef269c05454cde0d20b4957	1
0x112c11b3ddfafccfcd8b30e59033a664b694df6c	1
0x5c45b7a8f13bef60a9a6431503f8d1f8f71dfd1c	1
0x3755cd08f89ec61a05085c7d50bdab5d36a8d77f	1
0xc7ef6ad5fe62369b21607b0fd07d1c3be332a1c3	1
0xa39386395d449c66e6e7f74b7c03041463b9d52c	1
0x7f971f460e8d6546c39cc2391cf92817710f757c	1
0x894bfbcc9f3597d751c9b4905953c594746f025f	1
0xe27981f8170b4c44788ce24e16ab14db9a6d77af	1
0x75753e99f991dd78efb3ed714e3cc649caad5fd2	1
0x5d6c39cffd8fb8269134dc3a30db4f848550a7d5	1
0x0c1e99991dd2f7d374bff13f9f52284ce6cfdae5	1
0x34389a1cea6513641699ce33f570032e9265967c	2
0x06209554bc06b2bb2a12446c0f0c741da532789c	1
0xf5ede9501e8827ff9dc13a83dc967f9b7bef4024	1
0xe32ff55d4a164368721301213ebf6ee0ce59ea7e	1
0xcf08d6424d18d41cc40da57ea37518c95e720753	1
0xe5ebe01af98545d8bb65d2099e5863253fa70a46	1
0xb7fae1cbe5ad23dc76e1734c5d3df2382a3712f1	2
0x369c1f1be366e2b4f1df3a570c8b32bc0dbad33a	1
0xe5b6bd3931273f9188d25f4559de17fcec206510	1
0xc9d9e80e52b1179e4cec69477fb979d181ff2201	1
0x999b98242f5384e225a02afcebb5cfc817559e65	1
0xd37a698dc5d41322858d4f0cec8a196df24e7f3e	1
0x12d0ced4220f5acd0b0749bda0747a2051fbb280	1
0xcee2a207c7fb1e524acc2b369692e0d402222212	1
0xef4ae0a512615cbdb76c0c4929244c9ff9f1973e	1
0xdc6a86b2f8576b4ec29cf78cbbb04757030498b8	1
0x63ba198a8ba928e29d22fcfa16b3c061ba4e26da	1
0x7999e7e48b64cb9929a16fadb237c858706e6dc6	1
0x624a60672b42224403aa2d34228649bddf4af601	1
0xc8ed6d535d08fc4435fea832c78b866e7ed1f40a	1
0x2eaf07b7eec52076535d301fd889afd6fa92e45b	1
0xa9998fb18237a60742ec8d8b7c8a5dd6123243d9	1
0xf9e274e5ef198394a7320db5892d6e05e7f57a45	1
0x05a01a381d47cc6d502148a2d93f95aef5aca3c1	1
0xcadf27617c932594d840b220e39db61b46bc4720	1
0x390a59a3e5f925e1765173ca0ef30f7f7b1a6106	1
0x8d1fc87b3fd52a52c115786bf9d3858a7595b81c	1
0x9e54d103b00aecb003459bea82475dbfc370fddf	1
0x969b4534302eaeed488ee131958cd6ad7b754cca	1
0x94ce8872909f75ebc5ae1922f442704902142730	1
0xcb184eefd86dbaf48256eb5c05622b65e2ff61d2	1
0x8df3dffef849257a0b01046760b21649a1b6e8ae	1
0x32baac6ccfb856153c5407e5f18b9f4e5d1e93ee	1
0x5967c5080b0cea77d6bfc133f3d926753b471501	1
0x8bd969647e6f4e8811ba38ef9349af4d682a4eb5	1
0x7e587908b06965d65bce2d6b33f7e506509d4ffe	1
0x2e94735359bcae1ff8a510e58c5ecd4d96e6d972	1
0x9d2aa2571da4fb680ecced0f18192a90d9757952	3
0x0dd0918c3bc9678fe61263f8a47715aa87216829	1
0x528a922e7ec5ff6b7ad9c5352fec29fdb1a36b04	1
0xfc14e33c67ff7ea994c5d4e00e1d25f2d170f95a	1
0x6756fd803cc084d4b48689e69b0ab85003740a65	1
0xc0566630308b52267fc5d41ad77aa42d9f1fc5d0	1
0x9e63e6293f3a078d41ded20b6ea9b400968b07f9	1
