Address	Quantity
0xc409c4ca50da728351b5786a8809dfb00fb5e693	1
0x8710ad5a87e9725578bde45030322d9ec9074457	1
0x4a053c48f626435ee3977640d22fc082dc6f7c14	4
0xf9e274e5ef198394a7320db5892d6e05e7f57a45	1
0x2b5c74595a815119572625c685512ba2c7cbad73	1
0x2ca5efb9da603eeb58b062c460e59880286ef6ab	1
0xa22082eaacb5a5ffcc25d692ea7fc4ba1f451d30	2
0xc0cbae9719caa6fa5dff2e72b3f18df4d2682569	1
0x0fa798fe60edec9b7a989775b6416ba4cc077832	1
0xe7dfcf8097811abe89877893c54fa11ae444353a	1
0xe5c91c3cce2b589574fc2bbfa8c2b5a9b2259801	1
0xbe83424602c1054b1bcbf8ecca5ed260b5c41e19	1
0xa9d8a825ca772a6510124284dddb5120e62278cc	1
0x32f106b205dca31d6a5a604d964a75d092f5624d	1
0x19c09986f1c5adf42c331c0382de1877b0889002	1
0x90cd6482db861d960804c331ecf8e9da0f599ba2	1
0xe0088192064ae35daccc69aa702ecf7cb289d634	1
0x53d1f123bb246c54ddc68bc3bfa1e58b9d9b897e	1
0xfed0e04e67302bc72da909ffef005bd408b5127f	1
0x6193e36fce0e1ed6868626e7c60684b265cb5623	1
0x9613eca44f5e6b3045284537a6ba4b56ba0e7ca8	1
0x4e882851edfcfad4121d4737b427bfad0c80d327	4
0x2b76da3f3e74c74a7c2b09168c60ba03f018819a	1
0xdaf859edc3b56a6e2888349861d9f83b9b50c6ce	1
0x5c28633f400d6fc29b6ecf92628947a167e843f9	1
0x3541e846b3a4e3d67ce7d4342025a92285c2e291	2
0xd5f433e61ff413a8c899c0cc840b3857a248cc28	1
0xec4729d4a6c505e9aa905c5e7a2e20a57ab5b264	2
0x4e11c68f0405277a31f1bd301d1f315a61264173	1
0x837d31b2e33c03d7127a0b50a439dbd7d09ee950	1
0x87486b18526ab3dacf1e1e8a4b0d5c3a6978bdc9	1
0x164f04f4f4e6e28803ed3503ffcfe72b7d8a6b26	1
0x4ff83c705cd9eba77f509138412810c60f06363a	2
0xfac07fa759cae79cf85fa4f7c947ace0a2d5ed8c	2
0x858817885f4dd1de034d2cc7b9fcf1e87899d109	2
0x0a6bc3389f4eca70a1c97e357c689279f12c9460	1
0xdff2ac111ad7f752da9ec54a6d56d02a8a5d4896	1
0xfb44496ef7ce7dc94da1ec9f45115c80bba1778d	1
0xbdc971ea2eb0e2b43ab92c2147b4fd2003329e0e	1
0x64dba1964ab251b417d353d11fa69f5e57944648	1
0xcc9cfacb5cc652f3a9e9da1252a9f4fe35671876	1
0x634ab57c4bada68888afd1d8f8bcc4c2247987a5	1
0x450f9660bfdbc8f759a70dd36416ba324fa8d9cb	2
0x0236730ce7f2f76250b355ae62b461fdb62a9a7e	1
0xb170a41f2523220a12f84f17a54bd31953d98027	3
0x1cf16a258c1ed86140de36b1c2910c7517e4ecc2	1
0x2f508b4a82a929363b101b72480d3c850070b603	1
0x62e9fc93812bf765d13e90ebab48e1ae0d77e814	2
0x437ec29483946292bea7b21d3eb95ad502472c30	2
0xd20cc1610bb0d0cf0daacb159ab6cc4787d9e6d4	1
0x356fd34e332d394394f9882aa038048441c0d30d	1
0x9497067b95337f474a5bbc1ad95b1faebd94fc8c	1
0x7ed4ad773d4003deaf8439c479f9a039159575a0	1
0x8298a996a00835eedcc75763038b731fe617fd0d	1
0x0f5bc1369677ee317f44f5e4d878d1bf6e2c87fb	1
0x51cdb62e02b652faa74b9e0e6d2d7ea21b346806	1
0xa435a2c8bd621772a30e86f6310b4fd21a4133a5	1
0x27359c2df8a15a1d09d4a5c993148e1f4218ef58	2
0x9b39db4e27212217e35daa2bb8c424243c63d856	1
0x21b2cbee395752d10a80f13bd2a48cbbda99fd44	1
0xe5ebe01af98545d8bb65d2099e5863253fa70a46	1
0x911816c984d05561dc957225a025a6fc033b548e	1
0xf1092fffdf736fce2881e16a57c3c68ac8e745d0	1
0x1fe12ad6238363207a088a2c4a656a2472f9070d	2
0xaf33531fecd42fd9621b62b6cb372b72f0ad22a4	1
0xb212e85c263094dcc95fc98f646471440f0fa931	2
0xaa5d0623014ccf4bfa952e671b953f12983f4b4f	1
0xd57d6a9ad2273e25c1304419256723b4b9e1607a	1
0xe8efee48d1ce5eca2980ad42590be55b10afdf1d	1
0x05d9241af328275ebc265c7d7c6753c619c8ebca	1
0x13dcdc649a3ab73e891a41419c4b3924bf65ff17	1
0x4be247d20b3cb51401896159af4e28d40efee444	2
0xa03d81c3e58fd0ed973f7b2f73f0e26bdfd0f143	1
0xc42525f388676af12a0c0bea24d967e1160befc0	2
0x5f796413fbfb0cd851857b922087901bfe5bc83f	1
0x0e42fef48f8ad6ab1c6a6feaabbf9b994d6463ae	1
0x241540dcc6325fdbfda6c510415d92e4be0e17e8	1
0x6fef2d0e23e0857b90919896c065d7875b5ca304	1
0x891b16ec96b49cfcd63111c617ed71038bb4de80	1
0xcbf52773e34f38d0b1e9324bee136b2c18e054e8	1
0xa109a494ff1191d1675ea5a7b1cf9fd21df946db	1
0x32c77593cbc92260a2f2357bedaeff35a5e3947d	10
0x02b2f7357d39346848f81b1c9a43088d9441bfc6	1
0x8b86b588eb5c70d281a1ccfa46824b4388fbd4b9	1
0xfbf64264282e1f1fa263679e558778e81c96f954	1
0xff11d4b93cd990fd93233f61a32509ce70ba11cf	1
0x55bece20e95fc565096a5e9bba2fe8bf2a3ce996	1
0x3f639c65d84ef151a4e759db6f59c9319374efa1	1
0x0a8b1a9672070194decb0f66e047f988948a2f58	1
0x0da7d60820d74dc05fb01ac5622375de77a7fd5c	2
0x82f0a0c47486882c6c93133134a9d6ca139a1050	1
0x023d0355195dae794095e87824e538ba60e3c360	1
0x6a596eceea38e23cc1711f62b09516df71317da1	1
0xa6535c371a504b6d8f315eac346546ba87d64f4b	1
