Address	Quantity
0xa45c6a41f75127dc5cc4717baf89fba8ddd19f4e	18
0x88ba6e35d3c00d0385ee9498e63e04565413eb9c	1
0x65f34c6269956460b86ce46cb1fe65c37b4d5e12	1
0x36a9d52563f1339cb1500747eac1cd0ccfa1d11c	3
0x6dbdc76ba0c9bc3f4ea75bdbf5dffd3622a94b0d	1
0x2fb3476bddbf508d40058fa7159bb198bd6a30a3	1
0x6b1c98bcd8ec8e9963b9643ba555effcc34fe4fc	1
0x1d50a30b21fcf6c0d8bd800375ff263a9e1ea66a	1
0x1a6fa5bf0c58d1b7d8f3242d1db369c176050d59	1
0x43541dadce7341675f07352add43976f3cad0cf7	2
0xe2542f84b3228d69347e6e4c959fe0efb6ca1950	1
0x9832da3076eefb1aabd0c48e6b5bb9eb67cb375d	1
0x20851bf7cc4c4310957b4c85631e40735263692e	1
0x0d9fba8504146e962672d83608cec70ebb508995	1
0x381da8e9cee044a0f4680e3d802cff0bc7962e2a	1
0x758bf7889ddef7e96b4296d32a086c66d853807c	1
0x06851ab9d94009ee89d9107d05fcf6ec200b05c8	1
0x911d7f579c9ac29c39fde217a08096407cda3f4d	1
0xe89473f3aab71502c30062426a8666d48def4142	1
0x3abb3091861faaf3200cbaf10254a91376c2189e	1
0x0e24d281364bbf1ee6d98d93d744ded873117efe	1
0x31d35bda1daee81236439ec5cd7f1ddc988829ea	1
0x508cecd67956e991a1c2a3de43304ce0897312d1	1
0xe19c42fc10deee7f7f0c37557d3f64150d214633	1
0xd6d30dcfc7c0d1193c41b997660105fe8b91b73d	1
0x3b8c4965ef1d14a3a1596e9cc646fd1b08bb5bec	1
0xe1e7469d7a461fa1c1d5e7a4c75931f1ff76dad5	1
0x5967c5080b0cea77d6bfc133f3d926753b471501	1
0xa1896559456432572f86f480f2149bc60bddf99f	1
0x60437592183bbf9b5748e1ac724bfbf55aba14e1	1
0x8a53e735b8fd003e5b5d40b1bb37605176bdbbec	1
0x999160982e6062ddf5f05932f6a5fd97cb1687c5	1
0x5cc35122b6f2ee687cc511398ed6f08b18480307	1
0x3e8e821e11a4f8db4b15e96b186b99f1848ece56	1
0x18b7477c12beedce71b735e2667f024cc5d285b1	1
0xa9d4b32d021c14ad32a428bf34c38f2c0bc7ac59	1
0xd0cc08b12394f3b2444fceb5c2d02395b289ed7b	1
0xcf90ff6e229d0dd682bb33004576ee71267cd830	1
0x5d2d8a247af40efd8439054b171f18b9256a0898	1
0x9f7f5762e73a79fe3da828436db53f32aef59193	1
0x68f501d53b2afd52d21ac2dcc7aff561daba27d0	1
0x961b47ee67fa9aa8c916d0d7a61c5bbeef8a018c	1
0x882af20be5d70d0f7887a6674288d6e998b832d0	1
0x42e5a4ab3731fb1d5106e3d5c532c94617eeeadd	1
0xa6cbd0dcabb082319a067b0daf18df8156347c61	1
0xd772f48cea8c7e6601b9eabadf589d78674444d2	1
0xbdd4c6b3c82c5b0e153739d514b23f10b6d68a37	1
0x4ff83c705cd9eba77f509138412810c60f06363a	1
0x26df7e9ead04686b99be0b9ad71bc6cbdda181f4	1
0x5c574d2d02dcaa32d7537685d6880d03f4d4ca94	1
0x29e08117369961c70ee05b208b5e7abc34a85d8e	1
0x470c84e29a760f327b1b9cbdabd14032df3f05df	1
0x5267995cd69fe3fddb90b6323e5112780c4318c2	1
0xd9f735e64919d2cb0e4abc384a4bb4d3bbfc3ecb	1
0x81d809c8310c617264dab738d8c323a703308f93	1
0xa5ed9ba79bb481fad4a6361a3bf98dcdf5daa9f5	1
0xabba35abf6b99119c25b2c36c4dbb370288a0e3f	1
0x18a698b167e61388eb9953f42b88c5d92f26dd82	1
0xdbdd37c697fb9a8f561583bdc081eacc4b1b656e	1
0x1c91da7590cda4c9f1c49838a0ab6d065c67d165	1
0xe3c179efeef9109215e39c4bf71bdead6a2f3b17	1
0x6dc5063eef8a91eba64b9d57d84f2322df3ab9cd	1
0x2466cd39f824c9e3364a1a83bf3ad3265b2acfdf	1
0x970b4976d98c2fff1bba91fe9d5b70d657694f24	1
0x837d31b2e33c03d7127a0b50a439dbd7d09ee950	1
0x7c945b48b0bbb207577f1d4e183b8fda377483da	1
0x62019def3369d46e3011b213f99a3f2819448b45	1
0xaa99de91cd5e19ca32ef0c128bd97729b054b98e	1
0xb0e06add73ddd276d731f5419ebaf81d6615b14e	1
0xaa92eea9843a6c63873b0956ce3ca61fbb85037b	1
0x5f5ce410d233bee8e46b05e465b293c92a0e9f3a	1
0x5919ba30e2eebc5adf4ac75e9fdb9f686cb2c9f9	1
0x0edf2ab6295c02d405667196c4403e9b9b2aafc4	1
0xdebc6d853d95f33e6e4f098752d9996431ad9ef3	1
0xfbf64264282e1f1fa263679e558778e81c96f954	1
0x56466a6ea6d50781590d361457364edb1a303a5a	1
0xcc566412906e9919b7b7e1092bcd4d70fd2594e2	1
0xc0566630308b52267fc5d41ad77aa42d9f1fc5d0	1
0x51549550e4a9ed7d8f690ed6e7bf53393ac34e15	1
0xd37a698dc5d41322858d4f0cec8a196df24e7f3e	1
0x0038c9d58542a9eb58ddbb9b9454e0c39b5dfc2b	1
0x9f834576c64ec5cc5adfc5cc7ed7695c8ab02f49	1
0x5942f2042c92ec77c200035d2a784ba6993024f2	1
0x8fcb44aa2bd22159492d8ca36d21b0c6f5b1a21a	1
0xc42525f388676af12a0c0bea24d967e1160befc0	1
0x915d8e1d6d3d61366792f2d6a41e22d800f0a2cf	1
0x3b23a995a02140fdebc67b462e302f7e0890304f	1
0x06773e4d3408224d2928486476930846fac77d2f	1
0x460b0663f1ba47846202eb2368dfc6f8ab57b983	1
0x3ce6fff21881c130f2ea2ba860f2ee53fc9b2e43	1
0xe3d559dd1f9e3dfaf7a3997c38cf0d345c5ad71b	1
0xcac4f9d03002e095df3cabfe625e93bbb7260363	1
0x108608679d18e519b3c6450f196e9a1bff32df5b	1
0x97a5cf80359a859b75a1d1757d06c48d6dcbf588	1
0x2e59578e7f29bc02b4616c0b3449b528f4d89910	1
0x93414806c08d5d22399fe9a64a65b8764d1dbb80	1
0x8e2d56a672b78acc2c72e1eea721b0a7cb6db06f	1
0xaf075064a9ca1e8fa9efffcbc88b69d0c6b7f8fa	1
0xdbdd33d52c58c7a30a14332b6c2a0a044ab37041	1
0x724f852edc247de2e4def8b8ef4581e84e14c141	1
0xfeb51fd7b1d1b502b0a4445495b8a739d6fb2f83	1
0xa0b92b9bfbe3b000bb01124562b638084308759c	1
0xc9914b30ec2bea3d567d70c3a99f845e91e17346	1
0xb9c1658fe78ec318d9acee7759f076a1f57fdd0d	1
0xa8703559c60d29c7d41c1bd57d0a9e7ea90f978b	1
0x41eef9dd851394ad2cc545de043159fce4790ff6	1
0xfc14e33c67ff7ea994c5d4e00e1d25f2d170f95a	1
0x0d32d8bd710dc00ac0617a84eeb7554345cc6d77	1
0xc641545ee1edf2cc78b0b16967f39d3f0e267481	1
0x42643034fdafc5c1b3a1a26fc013d086439f1645	1
0x18fd571d8ff0da3e8df36aa62acf590e5310a81e	1
0x5a9a2c2fd03f89dacc83d54f589224fecec50370	1
0xe4ab4cb7d5ba3823833780c3036a83a401a03e8f	1
0xde0f40e10849fe6fa5598e58c13a55c8f24bb415	1
0x4e882851edfcfad4121d4737b427bfad0c80d327	6
0x12bb206124930a2533f9147f2f134a5372ea5b91	1
0xe2445691fa933057b11a708852c4a840c0bb0db2	1
0x1264623a0998afc1be0103caa76024880017833d	1
